date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-05-31,600519,601888,601628,600050,601601,000858,601857,600011,002304,000651,600887,600332,601111,600809,601318,600436,600276,600029,600031,000895
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-06-29,600519,601888,601628,601601,600050,601857,000858,600011,000651,600887,002304,600031,600436,600309,600332,000895,600585,600276,601318,601111
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-07-31,600519,601888,600011,600050,601857,601628,601601,600031,601318,600309,000651,600585,000596,600346,002304,600332,600887,000858,300003,000538
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-08-31,600519,601857,600050,601888,601628,600011,601601,601318,600031,600309,600585,000651,002304,600346,600332,600028,000858,600276,600887,000596
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-09-28,600519,601857,601888,600050,601628,600011,601318,601601,600031,600585,000651,002304,600346,600332,600309,000596,600028,000661,000858,002024
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-10-31,601857,600519,600050,601888,601601,600332,601318,600585,600346,600031,000651,002304,600276,600028,601899,600887,000858,600027,601628,600760
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-11-30,600519,600050,601857,601888,600332,601601,601318,000651,002304,600585,600031,600346,600276,600027,600028,300003,601899,601628,600887,000858
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2018-12-28,600519,601857,601888,600050,600332,601601,002304,000651,601318,600346,600031,600585,600887,600027,600276,000858,601628,601899,000568,600011
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-01-31,600519,600050,601857,601628,601601,000858,601888,601318,600276,600887,000002,000651,002032,600585,002304,600588,000895,600690,002120,600332
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-02-28,600519,600050,601628,000858,601857,601888,601601,601318,600887,600585,600276,000002,000651,002304,600588,002032,600332,002120,000568,600690
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-03-29,600519,600050,000858,601628,601888,601601,601318,601857,600276,600588,600887,000002,002032,000661,000568,000651,600585,002304,600332,002120
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-04-30,601628,601888,600519,600011,000858,601318,601601,601919,600050,600030,000568,600887,000661,600837,600276,000596,600999,600809,600436,600031
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-05-31,601628,601888,000858,600519,600011,601601,601318,600050,601919,600031,000661,600030,600009,600887,600837,000568,300015,600276,600436,000596
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-06-28,601628,601888,000858,601318,600519,601601,600011,600837,600050,600030,600031,000661,600009,600809,601919,000568,600276,600887,600547,300015
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-07-31,601628,601601,000858,600519,601888,601318,600031,600547,600011,600009,000651,000568,000661,600346,600276,600050,601919,600887,000876,000002
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-08-30,601628,600519,000858,601601,601888,601318,600011,600346,000568,600276,600547,000651,600050,600009,600031,601919,000661,600887,000876,600809
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-01-31,600519,600050,603288,601601,601888,601336,000858,000333,601857,600276,002415,600887,000651,002120,002594,601318,601628,002304,002032,600588
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-02-28,600519,600050,603288,601336,000858,601601,000333,601888,600276,601628,002415,601318,601857,002594,002475,603259,002120,000651,600332,601138
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-03-29,600519,000858,600050,601888,603288,000333,601336,601601,002415,601628,601857,600276,601318,002475,603259,002304,000568,002032,002594,000651
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-04-30,601628,601888,600519,000858,002594,601933,601318,601066,002475,601601,600030,000333,601336,600011,600050,002352,601919,000596,600276,600837
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-05-31,601628,601888,600519,000858,601318,002594,601601,000333,601933,601066,600011,002475,601336,600030,600809,600276,002352,603288,601919,600887
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-06-28,601628,601888,000858,600519,601318,002594,000333,601601,601336,002475,601933,601066,600030,600011,000568,600031,002352,600276,600050,601919
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-07-31,601628,600519,601888,601601,000858,601336,601318,000333,002352,300498,002475,603160,601319,600011,600031,600547,000568,601933,600887,601066
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-08-30,601628,600519,601888,000858,601601,002352,601318,300498,000333,603160,002475,600011,601336,000568,600031,601933,600547,600346,601319,000651
