,pe_ratio,pb_ratio,market_cap,report_date,ors,npgr,roic,pe_ratio_score,pb_ratio_score,market_cap_score,report_date_score,ors_score,npgr_score,roic_score
000568.SZ,31.4547,3.3698,296.5764,2015-09-30,1317545088.0,6.0900001526,0.0289999992,5,6,10,6,4,5,6
000570.SZ,79.4687,2.5274,53.6112,2015-09-30,815273280.0,44.4799995422,0.1700000018,8,4,4,6,5,3,5
000571.SZ,54.4108,1.8419,40.9474,2015-09-30,252194688.0,-8.1300001144,-0.2099999934,7,2,3,6,7,6,9
000572.SZ,34.5318,1.3147,97.3625,2015-09-30,1858844160.0,-29.8999996185,0.275000006,6,1,7,6,3,7,4
000573.SZ,-110.029,2.0645,32.4456,2015-09-30,51314188.0,-316.549987793,0.0729999989,1,3,2,6,10,10,5
000576.SZ,-307.8277,6.3057,62.7977,2015-09-30,118290160.0,1290.75,-0.1480000019,1,8,5,6,9,1,8
000581.SZ,12.6983,1.9067,221.5655,2015-09-30,1109803392.0,4.3899998665,0.5820000172,3,2,9,6,4,5,2
000582.SZ,29.7082,2.8072,160.0889,2015-09-30,759883968.0,-29.0599994659,0.4850000143,5,4,8,6,5,7,3
000584.SZ,110.9987,3.6228,70.655,2015-09-30,182235504.0,-87.8000030518,0.1840000004,8,6,5,6,8,9,4
000585.SZ,798.45,17.9222,51.0048,2015-09-30,39015096.0,-3.9900000095,-0.0379999988,10,10,4,6,10,6,7
000586.SZ,666.2317,17.8907,38.0883,2015-09-30,107427576.0,503.7099914551,-0.2479999959,10,10,2,6,9,1,9
000587.SZ,77.5936,8.2131,113.0984,2015-09-30,2223380224.0,6.7699999809,-0.2370000035,8,9,7,6,2,5,9
000589.SZ,32.5266,1.2179,46.3728,2015-09-30,1392254080.0,-37.9700012207,2.2379999161,5,1,3,6,3,8,1
000590.SZ,-59.6233,23.1957,45.5819,2015-09-30,65547076.0,2226.5600585938,0.057,2,10,3,6,9,1,6
000591.SZ,1136.0184,10.886,45.2866,2015-09-30,1169878144.0,180.3699951172,0.0649999976,10,10,3,6,4,1,5
000592.SZ,169.7691,10.3433,120.925,2015-09-30,205660096.0,-37.8600006104,-0.0590000004,9,9,7,6,8,8,7
000593.SZ,109.8021,3.6515,24.1029,2015-09-30,94068432.0,24.4799995422,0.0890000015,8,6,1,6,9,4,5
