date,open,high,low,close,volume,openinterest
20150925,13.8247,13.9681,13.4364,13.5799,583382.46,
20150928,13.5715,13.639,13.4195,13.6052,383383.41,
20150929,13.4533,13.4786,13.2676,13.2929,410071.97,
20150930,13.3858,13.7487,13.3436,13.6559,506262.61,
20151008,14.3479,14.7699,14.1876,14.2045,930510.48,
20151009,14.1707,14.3479,14.1032,14.2298,443542.07,
20151012,14.2551,14.8965,14.1538,14.7699,1246593.55,
20151013,14.6602,14.7615,14.5336,14.6686,666400.3,
20151014,14.6433,14.7024,14.4154,14.4239,593650.6,
20151015,14.4239,14.753,14.3142,14.7277,631749.76,
20151016,14.7362,14.9556,14.6096,14.7952,715580.46,
20151019,14.8712,15.0062,14.6011,14.7277,733557.35,
20151020,14.7193,14.8206,14.4408,14.8206,615432.76,
20151021,14.8206,14.9218,14.3986,14.7699,1001682.98,
20151022,14.6349,14.8712,14.5758,14.8543,749595.8,
20151023,14.964,15.5126,14.8881,15.3607,1042963.31,
20151026,15.597,15.6055,15.116,15.1497,838895.26,
20151027,15.0231,15.0231,14.3901,14.8374,875434.15,
20151028,14.753,14.8712,14.5589,14.6011,674729.38,
20151029,14.6433,14.8543,14.5252,14.7699,445891.62,
20151030,14.7193,14.8037,14.5842,14.6433,450152.17,
20151102,14.7446,15.2594,14.7446,14.8881,1004845.61,
20151103,14.8712,15.0062,14.6433,14.7446,496634.79,
20151104,14.7446,15.4873,14.7446,15.4536,1284433.58,
20151105,15.4536,16.5001,15.3185,16.0528,1640853.09,
20151106,16.1034,16.5592,16.0275,16.3566,1126189.66,
20151109,16.441,16.863,16.441,16.5086,1188898.13,
20151110,16.3988,16.7533,16.095,16.4748,844888.81,
20151111,16.3735,16.4157,16.095,16.23,631492.46,
20151112,16.2976,16.3566,16.019,16.095,462357.24,
20151113,15.9515,16.0106,15.6646,15.6899,622779.47,
20151116,15.4451,15.8502,15.4282,15.7827,458899.76,
20151117,15.8756,16.1288,15.7236,15.7827,602597.24,
20151118,15.8587,15.96,15.6224,15.6477,656026.94,
20151119,15.7236,15.8334,15.5464,15.8249,407915.76,
20151120,15.8418,15.8587,15.6392,15.6899,557160.71,
20151123,15.6983,15.7236,15.5042,15.5464,522751.76,
20151124,15.5548,15.6561,15.5211,15.6477,364110.26,
20151125,15.6139,15.7321,15.5295,15.6561,408457.37,
20151126,15.7743,16.6689,15.7321,16.3144,1252679.4,
20151127,16.1203,16.2976,15.5042,15.6561,837262.54,
20151130,15.7405,15.8502,15.0231,15.4704,599421.69,
20151201,15.4451,16.5001,15.2341,16.1119,1044932.97,
20151202,16.1119,17.7239,16.0275,17.7239,3434655.85,
20151203,17.3357,17.5551,17.0065,17.2006,1857264.66,
20151204,17.1922,17.8927,16.8884,17.5804,1767671.69,
20151207,17.5382,18.0109,17.2175,17.5636,1184055.43,
20151208,17.4707,17.4707,16.9137,16.9221,732622.28,
20151209,16.8799,17.8505,16.8715,17.5551,1119308.53,
20151210,17.5551,18.0868,17.226,17.6648,1236460.69,
20151211,17.5382,18.129,17.4201,18.0109,906621.28,
20151214,17.8336,18.627,17.7746,18.2303,892324.03,
20151215,18.1966,18.3569,17.7914,17.9265,701467.4,
20151216,17.9265,18.0953,17.4792,17.5551,706852.02,
20151217,17.6986,17.9434,17.5973,17.8336,893617.72,
20151218,17.8336,17.9518,17.5636,17.6395,654597.03,
20151221,17.7746,19.4035,17.7239,19.4035,2905606.31,
20151222,19.4203,20.6779,19.4035,19.5976,2285964.3,
20151223,19.6904,20.6273,19.682,20.1968,1607144.61,
20151224,20.2475,20.3234,19.3191,19.5891,1091953.5,
20151225,19.6229,19.6651,19.2431,19.4119,655586.02,
