date,open,high,low,close,volume,openinterest
2007-08-13,4768.619,4872.548,4728.892,4820.064,114184714.0,
2007-08-14,4820.15,4876.851,4789.895,4872.785,88568208.0,
2007-08-15,4875.511,4916.31,4762.718,4869.883,90509675.0,
2007-08-16,4845.016,4845.016,4710.31,4765.448,90538411.0,
2007-08-17,4733.137,4814.369,4646.433,4656.574,91159048.0,
2007-08-20,4773.832,4906.003,4758.397,4904.855,99152937.0,
2007-08-21,4944.214,4982.981,4917.821,4955.207,104204109.0,
2007-08-22,4876.345,4999.195,4861.271,4980.075,108110938.0,
2007-08-23,5002.841,5050.383,4968.327,5032.494,99309428.0,
2007-08-24,5070.651,5125.359,5052.241,5107.668,108995636.0,
2007-08-27,5144.824,5192.061,5092.076,5150.118,116154244.0,
2007-08-28,5134.141,5209.507,5058.446,5194.689,105436739.0,
2007-08-29,5147.713,5204.526,5063.412,5109.427,100824139.0,
2007-08-30,5144.111,5186.526,5109.662,5167.884,101210584.0,
2007-08-31,5184.091,5235.157,5158.368,5218.825,103556261.0,
2007-09-03,5257.777,5327.538,5257.777,5321.055,125779649.0,
2007-09-04,5333.4,5357.926,5264.996,5294.045,120426368.0,
2007-09-05,5296.07,5337.929,5223.67,5310.716,96240624.0,
2007-09-06,5336.669,5412.319,5314.337,5393.66,106987966.0,
2007-09-07,5381.186,5405.358,5269.25,5277.176,119841029.0,
2007-09-10,5208.318,5356.856,5169.905,5355.287,102368235.0,
2007-09-11,5362.941,5395.038,5093.923,5113.968,110055262.0,
2007-09-12,5092.576,5192.302,5025.336,5172.627,97058855.0,
2007-09-13,5193.409,5276.771,5178.871,5273.592,86550216.0,
2007-09-14,5290.256,5324.439,5201.854,5312.182,94673912.0,
2007-09-17,5309.057,5427.171,5307.774,5421.392,105638609.0,
2007-09-18,5446.732,5458.578,5339.917,5425.208,102690994.0,
2007-09-19,5439.018,5447.36,5336.07,5395.265,89725500.0,
2007-09-20,5408.484,5482.425,5396.109,5470.065,86547205.0,
2007-09-21,5482.507,5489.074,5363.347,5454.674,92838809.0,
2007-09-24,5469.837,5506.064,5404.419,5485.013,81798471.0,
2007-09-25,5500.269,5509.234,5396.482,5425.88,96509579.0,
2007-09-26,5407.829,5463.899,5320.02,5338.52,63608585.0,
2007-09-27,5338.108,5411.189,5306.823,5409.403,58884300.0,
2007-09-28,5461.58,5560.417,5461.58,5552.301,80631285.0,
2007-10-08,5683.31,5729.963,5620.0,5692.755,95983083.0,
2007-10-09,5678.913,5725.407,5628.35,5715.892,83289030.0,
2007-10-10,5742.648,5860.859,5727.238,5771.464,92445344.0,
2007-10-11,5798.386,5914.772,5755.99,5913.23,94709657.0,
2007-10-12,5950.902,5959.364,5658.812,5903.264,119148432.0,
2007-10-15,5934.775,6039.042,5866.131,6030.086,98707442.0,
2007-10-16,6056.946,6124.044,6040.713,6092.057,88152159.0,
2007-10-17,6057.428,6088.892,5982.203,6036.281,71312588.0,
2007-10-18,6031.916,6055.473,5804.973,5825.282,69805425.0,
2007-10-19,5869.124,5932.11,5766.861,5818.047,55224892.0,
2007-10-22,5742.791,5804.836,5654.907,5667.332,54433674.0,
2007-10-23,5660.066,5776.016,5574.84,5773.387,58453968.0,
2007-10-24,5804.015,5906.695,5793.557,5843.109,60292831.0,
2007-10-25,5794.223,5819.884,5546.041,5562.394,71714448.0,
2007-10-26,5498.858,5628.834,5462.013,5589.631,51519175.0,
2007-10-29,5641.983,5750.254,5617.976,5747.997,50164402.0,
2007-10-30,5769.203,5899.65,5701.337,5897.193,54278820.0,
2007-10-31,5984.713,6002.118,5871.48,5954.765,71029564.0,
2007-11-01,5978.939,6005.131,5912.502,5914.285,64885103.0,
2007-11-02,5812.465,5860.594,5740.403,5777.809,59541596.0,
2007-11-05,5748.176,5787.228,5603.47,5634.452,64132597.0,
2007-11-06,5593.347,5649.752,5510.161,5536.569,45068039.0,
2007-11-07,5565.648,5610.953,5469.761,5601.783,42730328.0,
2007-11-08,5559.151,5559.151,5328.201,5330.023,48924662.0,
2007-11-09,5276.008,5382.697,5217.629,5315.54,47341262.0,
2007-11-12,5181.175,5250.085,5032.578,5187.735,52582703.0,
2007-11-13,5239.343,5311.698,5085.444,5158.118,49237316.0,
