===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,LongShortStrategy,len,datetime,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
145,2006-day-001,145,2006-07-26 23:59:59.999989,3635.17,3647.02,3625.07,3640.75,0.0,0.0,LongShortStrategy,145,732518.9999999999,CrossOver,145,0.0,Broker,145,97684.19999999998,99684.19999999998,BuySell,145,,,Trades - Net Profit/Loss,145,,
146,2006-day-001,146,2006-07-27 23:59:59.999989,3649.29,3681.55,3649.29,3681.55,0.0,0.0,LongShortStrategy,146,732519.9999999999,CrossOver,146,0.0,Broker,146,98092.19999999998,100092.19999999998,BuySell,146,,,Trades - Net Profit/Loss,146,,
147,2006-day-001,147,2006-07-28 23:59:59.999989,3671.71,3711.41,3659.67,3710.6,0.0,0.0,LongShortStrategy,147,732520.9999999999,CrossOver,147,0.0,Broker,147,98382.69999999998,100382.69999999998,BuySell,147,,,Trades - Net Profit/Loss,147,,
148,2006-day-001,148,2006-07-31 23:59:59.999989,3708.82,3711.52,3688.22,3691.87,0.0,0.0,LongShortStrategy,148,732523.9999999999,CrossOver,148,0.0,Broker,148,98195.39999999998,100195.39999999998,BuySell,148,,,Trades - Net Profit/Loss,148,,
149,2006-day-001,149,2006-08-01 23:59:59.999989,3687.82,3696.52,3632.51,3640.6,0.0,0.0,LongShortStrategy,149,732524.9999999999,CrossOver,149,0.0,Broker,149,97682.69999999998,99682.69999999998,BuySell,149,,,Trades - Net Profit/Loss,149,,
150,2006-day-001,150,2006-08-02 23:59:59.999989,3655.93,3696.77,3655.93,3696.35,0.0,0.0,LongShortStrategy,150,732525.9999999999,CrossOver,150,0.0,Broker,150,98240.19999999998,100240.19999999998,BuySell,150,,,Trades - Net Profit/Loss,150,,
151,2006-day-001,151,2006-08-03 23:59:59.999989,3695.86,3703.38,3647.96,3667.91,0.0,0.0,LongShortStrategy,151,732526.9999999999,CrossOver,151,0.0,Broker,151,97955.79999999999,99955.79999999999,BuySell,151,,,Trades - Net Profit/Loss,151,,
152,2006-day-001,152,2006-08-04 23:59:59.999989,3677.44,3729.29,3677.44,3718.09,0.0,0.0,LongShortStrategy,152,732527.9999999999,CrossOver,152,0.0,Broker,152,98457.59999999999,100457.59999999999,BuySell,152,,,Trades - Net Profit/Loss,152,,
153,2006-day-001,153,2006-08-07 23:59:59.999989,3707.49,3707.49,3654.09,3659.03,0.0,0.0,LongShortStrategy,153,732530.9999999999,CrossOver,153,0.0,Broker,153,97866.99999999999,99866.99999999999,BuySell,153,,,Trades - Net Profit/Loss,153,,
154,2006-day-001,154,2006-08-08 23:59:59.999989,3672.22,3684.78,3654.51,3668.1,0.0,0.0,LongShortStrategy,154,732531.9999999999,CrossOver,154,0.0,Broker,154,97957.69999999998,99957.69999999998,BuySell,154,,,Trades - Net Profit/Loss,154,,
155,2006-day-001,155,2006-08-09 23:59:59.999989,3674.04,3712.22,3651.29,3707.19,0.0,0.0,LongShortStrategy,155,732532.9999999999,CrossOver,155,0.0,Broker,155,98348.59999999998,100348.59999999998,BuySell,155,,,Trades - Net Profit/Loss,155,,
156,2006-day-001,156,2006-08-10 23:59:59.999989,3686.63,3686.63,3638.55,3675.44,0.0,0.0,LongShortStrategy,156,732533.9999999999,CrossOver,156,0.0,Broker,156,98031.09999999998,100031.09999999998,BuySell,156,,,Trades - Net Profit/Loss,156,,
157,2006-day-001,157,2006-08-11 23:59:59.999989,3682.86,3698.24,3659.1,3675.1,0.0,0.0,LongShortStrategy,157,732534.9999999999,CrossOver,157,0.0,Broker,157,98027.69999999998,100027.69999999998,BuySell,157,,,Trades - Net Profit/Loss,157,,
158,2006-day-001,158,2006-08-14 23:59:59.999989,3690.09,3720.39,3690.09,3719.11,0.0,0.0,LongShortStrategy,158,732537.9999999999,CrossOver,158,0.0,Broker,158,98467.79999999999,100467.79999999999,BuySell,158,,,Trades - Net Profit/Loss,158,,
159,2006-day-001,159,2006-08-15 23:59:59.999989,3712.47,3773.87,3706.87,3766.38,0.0,0.0,LongShortStrategy,159,732538.9999999999,CrossOver,159,0.0,Broker,159,98940.49999999999,100940.49999999999,BuySell,159,,,Trades - Net Profit/Loss,159,,
